titulo: Front-Matter | Autor: Autor não encontrado
titulo: Embracing Data Irregularities in Multivariate Time Series with Recurrent and Graph Neural Networks | Autor: Marcel Rodrigues de Barros, Thiago Lizier Rissi, Eduardo Faria Cabrera, Eduardo Aoun Tannuri, Edson Satoshi Gomi, Rodrigo Augusto Barreira, Anna Helena Reali Costa
titulo: Regulation and Ethics of Facial Recognition Systems: An Analysis of Cases in the Court of Appeal in the State of São Paulo | Autor: Cristina Godoy B. de Oliveira, Otávio de Paula Albuquerque, Emily Liene Belotti, Isabella Ferreira Lopes, Rodrigo Brandão de A. Silva, Glauco Arbix
titulo: A Combinatorial Optimization Model and Polynomial Time Heuristic for a Problem of Finding Specific Structural Patterns in Networks | Autor: Igor M. Sampaio, Karla Roberta P. S. Lima
titulo: Efficient Density-Based Models for Multiple Machine Learning Solutions over Large Datasets | Autor: Natanael F. Dacioli Batista, Bruno Leonel Nunes, Murilo Coelho Naldi
titulo: Exploring Text Decoding Methods for Portuguese Legal Text Generation | Autor: Kenzo Sakiyama, Raphael Montanari, Roseval Malaquias Junior, Rodrigo Nogueira, Roseli A. F. Romero
titulo: Community Detection for Multi-label Classification | Autor: Elaine Cecília Gatto, Alan Demétrius Baria Valejo, Mauri Ferrandin, Ricardo Cerri
titulo: A Monte Carlo Algorithm for Time-Constrained General Game Playing | Autor: Victor Scherer Putrich, Anderson Rocha Tavares, Felipe Meneguzzi
titulo: α-MCMP: Trade-Offs Between Probability and Cost in SSPs with the MCMP Criterion | Autor: Gabriel Nunes Crispino, Valdinei Freire, Karina Valdivia Delgado
titulo: Specifying Preferences over Policies Using Branching Time Temporal Logic | Autor: Warlles Carlos Costa Machado, Viviane Bonadia dos Santos, Leliane Nunes de Barros, Maria Viviane de Menezes
titulo: Logic-Based Explanations for Linear Support Vector Classifiers with Reject Option | Autor: Francisco Mateus Rocha, Thiago Alves Rocha, Reginaldo Pereira Fernandes Ribeiro, Ajalmar Rêgo Rocha
titulo: The Multi-attribute Fairer Cover Problem | Autor: Ana Paula S. Dantas, Gabriel Bianchin de Oliveira, Helio Pedrini, Cid C. de Souza, Zanoni Dias
titulo: A Custom Bio-Inspired Algorithm for the Molecular Distance Geometry Problem | Autor: Sarah Ribeiro Lisboa Carneiro, Michael Ferreira de Souza, Douglas O. Cardoso, Luís Tarrataca, Laura S. Assis
titulo: Allocating Dynamic and Finite Resources to a Set of Known Tasks | Autor: João da Silva, Sarajane Peres, Daniel Cordeiro, Valdinei Freire
