titulo: Exploring a meaningful learning intervention in a CS1 course | Autor: João Marcelo Borovina Josko
titulo: Uma proposta para avaliação do desempenho de aprendizagem de conceitos e práticas de Machine Learning em nível Create na Educação Básica | Autor: Marcelo Fernando Rauber, Christiane Gresse von Wangenheim
titulo: Componentes eletivos como uma alternativa para a inclusão do Pensamento Computacional nos currículos do ensino médio brasileiro | Autor: Kennedy F. Araújo, Tatiana da Silva
titulo: SIMULA-ENADE: Support System for University Preparation for the National Student Performance Examination | Autor: Marcella N. de Oliveira, Luan L. Silva, Sofia L. da Costa Paiva, Elisa T. de Albergaria
titulo: Avaliação do Pensamento Computacional em Graduandos de Cursos de Computação: uma Disciplina de Programação faz Diferença? | Autor: Álekiss Manço de Mélo, Sislan D. Nascimento Ferreira, Ana Liz Souto Oliveira, Wilkerson L. Andrade
titulo: Processo de Tradução de Instrumento Diagnóstico de Pensamento Computacional para Graduandos | Autor: Sislan D. Nascimento Ferreira, Álekiss Manço de Mélo, Ana Liz Souto Oliveira, Wilkerson L. Andrade
titulo: Aprendendo com os Erros dos Outros: Um relato sobre a adoção de Exemplos Errôneos como ferramenta de Aprendizagem de Casos de Uso | Autor: Williamson Silva, André L. M. Mendes, Renato Garcia, Matheus de Oliveira Ribeiro, Ricardo Vilela, Walter Nakamura, Gabriel M. Lunardi, Pedro Valle
titulo: Desenvolvimento de jogos digitais como auxílio na resolução de questões da OBMEP | Autor: Liviah Rodrigues de Oliveira, Josias Neubert Savóis
titulo: Explorando a aceitação do CollabProg como um Facilitador de Metodologias Ativas no Ensino de Programação | Autor: Ivanilse Calderon, Williamson Silva, Eduardo Feitosa
titulo: Utilização das tecnologias digitais e metodologias ativas para o desenvolvimento da tomada de decisão no Ensino Superior | Autor: Liliane Maria Ramalho de Castro Siqueira, José Aires de Castro Filho, Juliana Silva Arruda
titulo: Leveraging Communication Analysis to Identify Key Challenges in an Innovation Course in computer science | Autor: Múcio J. Alves de Andrade, Cristiano C. de Araújo, Geber L. Ramalho
titulo: Uma análise da integração da metodologia ativa Coding Dojo a uma plataforma de ensino-aprendizagem de algoritmos | Autor: Jovennilton Soares de Sousa, Djefferson Maranhão, Paulo Victor Borges, Carlos de Salles Soares Neto
titulo: Recomendação Híbrida de Objetos de Aprendizagem a partir da Predição de Necessidades Personalizadas de Estudantes | Autor: Lucca Alexandre Schrammel, Lisandra Manzoni Fontoura
titulo: Abordagem STEAM: lixo eletrônico e atividades interativas para fomentar igualdade e equidade de gênero nas áreas STEM | Autor: Giseli Duardo Maciano, Sabrina Bourscheid Sassi, Maria Fernanda Abalem Franca Nunes Costa, Eunice Pereira dos Santos Nunes, Cristiano Maciel
titulo: Aprimorando a experiência de aprendizado em ambientes online massivos: o papel dos sistemas de recomendação | Autor: Wilson M. Sanches, Fabiana Z. Ferreira, Paulo J. D. O. Evald, André P. Vargas, Jean L. Bez, Silvia S. da C. Botelho
titulo: Potencialidades do uso de metodologias ativas em disciplinas de computação: Uma Revisão Sistemática de Literatura | Autor: Carla B. Diogo, Cássia B. Diogo, Viviane A. dos Santos
titulo: Avaliação de um modelo de Sistema de Recomendação que integra Metodologias Ativas e Mineração de Dados Educacionais para mitigar a evasão na Educação a Distância | Autor: Tiago Luís de Andrade, Caroline Medeiros Martins de Almeida, Jorge Luís Victória Barbosa, Sandro José Rigo
titulo: Bora Programar | Autor: Laura Quevedo Jurgina, Leomar Soares da Rosa Júnior, Rafael Piccin Torchelsen
titulo: Requisitos em Ação: Uma Arquitetura Pedagógica para o Ensino de Engenharia de Requisitos de Software | Autor: Thalia S. Santana, Taciana N. Kudo, Renato F. Bulcão-Neto
titulo: Utilizando o framework 5W2H para compreender o processo de ensino e aprendizagem de programação | Autor: Ceres G. B. Morais, Jessica N. de F. L. Araujo, Rommel W. de Lima
titulo: Potencializando o desenvolvimento de software em uma instituição federal de ensino através de um Banco de Projetos fundamentado em metodologias ágeis | Autor: Diego dos Santos Comis, Samuel Müller Forrati, Aliane Loureiro Krassmann, Anderson Daniel Stochero, Elder de Macedo Rodrigues, João Pablo Silva da Silva
titulo: Development of Visualization Metaphors for Monitoring Student Engagement in Distance Learning Environments | Autor: Pamella L. S. de Oliveira, Rodrigo L. Rodrigues, Alexandre M. A. Maciel
titulo: Atividade de Matemática gamificada com pixel art | Autor: Elaine de S. Teodosio, Arnaldo B. Vila Nova
titulo: Educational Software and Security Vulnerabilities: an experimental study | Autor: Diego Rossi, Lucas Bressan, Fernanda Campos, André Oliveira, Victor Ströele
titulo: Guia Prático para a Otimização da Gestão de Projetos Universitários na área de TI | Autor: Marta Maria Guedes da Silva Neta, Tarciana Dias da Silva, Cleyton Mario de Oliveira Rodrigues
titulo: Validating the process for labeling Moodle activities according to Complex thinking theory | Autor: Gustavo P. Oliveira, Marcia A. Fernandes, Jaqueline Maissiat
titulo: SABIDO: Uma plataforma que auxilia no processo de alfabetização nos anos inicias do Ensino Fundamental | Autor: Vitória Luísa da Silva, Maria Claudete Schorr
titulo: Ensino e Aprendizagem através de Makerspaces: uma Revisão Sistemática da Literatura | Autor: Cassiano Henrique de Albuquerque, Patrícia Smith Cavalcante
titulo: AgroCATIVO: Plataforma de Ensino com Métodos Educacionais para Aprendizagem no Agronegócio | Autor: Anastácio B. Loguercio, Vinícius do N. Lampert, Érico M. Hoff do Amaral
titulo: Ensino de Programação Orientada a Objetos Para Iniciantes: Uma Metodologia para Programação Criativa | Autor: Wilian DÁvila, Lucia Giraffa
titulo: LOMc: Uma Extensão ao LOM para a Descrição de Recursos Educacionais Baseada no Desenvolvimento de Competências | Autor: Jessica de S. Santana, Edeyson de A. Gomes, Laís do N. Salvador, Luma da R. Seixas
titulo: Investigando o Uso de Testes para Apoiar a Resolução de Problemas de Programação | Autor: André Almeida, Eliane Araújo, Jorge Figueiredo
titulo: Avaliação da Eficácia do Uso Pedagógico de Projetos OSS | Autor: Erinaldo Santos Oliveira, Christina von Flach
titulo: Uma Unidade Instrucional para Apoio ao Ensino de Integração Contínua em Cursos de Graduação em Tecnologia da Informação | Autor: Osmar de Oliveira Braz Junior, Richard Henrique de Souza, Jean C. R. Hauck
titulo: Analyzing the Effectiveness of an Educational Process for Teaching Programming Through Educational Robotics in a Brazilian Technical and Vocational High School | Autor: Isabelle M. L. Souza, Lívia M. R. Sampaio, Wilkerson L. Andrade
titulo: Aplicando Design Sprint em Sala de Aula Invertida: Um Estudo de Caso | Autor: Rodrigo S. Souza, Natasha M. C. Valentim, Catarina Costa
